0.000000000000000000e+00 -6.829245458905678495e-03
3.128230575688561999e-05 -6.829024056662953354e-03
1.964255818831528444e-04 -6.827398429521246842e-03
5.724228131720465740e-04 -6.824768060851396125e-03
1.167309634675373076e-03 -6.825687185685297420e-03
1.986824682959076327e-03 -6.824739918197680021e-03
3.038973685542956105e-03 -6.805767641662772288e-03
4.334321653254313844e-03 -6.797980312721916413e-03
5.886325690529492505e-03 -6.792931060568736974e-03
7.711756578138162510e-03 -6.772524974843444935e-03
9.831224431450236168e-03 -6.752501336355618000e-03
1.226982169134638312e-02 -6.743004279272996580e-03
1.505789554361314231e-02 -6.728307778228709984e-03
1.823195938637223179e-02 -6.686445086277945787e-03
2.183574890217698794e-02 -6.664287751211698391e-03
2.592142315281931175e-02 -6.656168203169511230e-03
3.055090622391953836e-02 -6.595977096712238308e-03
3.579736247838471996e-02 -6.562988639347807837e-03
4.174680100320626863e-02 -6.523189121584317685e-03
4.849981432746286458e-02 -6.485924588048083868e-03
5.617347297192099020e-02 -6.489363585394805276e-03
6.490341805787669394e-02 -6.349774397198805834e-03
7.484621408710978585e-02 -6.306192478925613971e-03
8.618203832661541774e-02 -6.170733465404046325e-03
9.911779002952925133e-02 -6.117233304358546744e-03
1.138907037261160937e-01 -6.005728464291188069e-03
1.307725499612666376e-01 -5.851972059497574825e-03
1.500745079815568594e-01 -5.690847314736422434e-03
1.721528002108230204e-01 -5.645519901886683276e-03
1.974151883853358935e-01 -5.267981989079525453e-03
2.263284455098713011e-01 -5.126472880169300264e-03
2.594269356364420354e-01 -4.816767438837570893e-03
2.973224543867170055e-01 -4.525450234994951755e-03
3.407155069566791816e-01 -4.223225125122646341e-03
3.904082271521169822e-01 -3.715404226757298978e-03
4.473191710854806935e-01 -3.149348071774712640e-03
5.125002528580724359e-01 -2.746054015545372224e-03
5.871561272474290494e-01 -2.061323620273100999e-03
6.726663664338272675e-01 -1.399031031285036860e-03
7.706108243519971257e-01 -1.176842740852975530e-03
8.827986333248216688e-01 -9.647706112180017696e-04
1.011301332853331569e+00 -8.683775129215779700e-04
1.158490688811175673e+00 -6.048970477777400627e-04
1.327081820896802711e+00 -3.384365358558449497e-04
1.520182313616569303e+00 -2.492646146797235338e-04
1.741348035607337419e+00 -1.934878730791160832e-04
1.994646424600365897e+00 -3.150899196261159046e-05
2.284727996361773705e+00 -7.311338097743932322e-05
2.616906783272998638e+00 -4.956778247015801160e-05
2.997250267973128324e+00 -3.891578974452559011e-05
3.432679098766466819e+00 -2.540148227526411672e-05
3.931076380761394873e+00 -2.568284751702417038e-05
4.501405519327067672e+00 -1.953441642852827708e-05
5.153834291116476507e+00 -1.352270796447228590e-05
5.899860807835610288e+00 -1.187623554874246895e-05
6.752434010967844458e+00 -8.454817979929849081e-06
7.726056886403965152e+00 -7.272359550502163530e-06
8.836854216599975942e+00 -5.832983174651640283e-06
1.010257784559788696e+01 -3.592159148214230441e-06
1.154251065603927273e+01 -3.282486682927597733e-06
1.317721567390402448e+01 -2.395316384744627825e-06
1.502805982800870588e+01 -1.149490551773039423e-06
1.711642576285378325e+01 -9.095092834283063813e-07
1.946251598565962126e+01 -5.992967239979733687e-07
2.208366270430585132e+01 -3.148709266093757621e-07
2.499210069501037879e+01 -2.348484441466058742e-07
2.819225899421777726e+01 -1.518889053413118903e-07
3.167779322319149671e+01 -1.028850862345925961e-07
3.542880236243343717e+01 -9.680500889536217381e-08
3.940989332111730192e+01 -9.250051803332333573e-08
4.356986011388988800e+01 -1.513047416099677258e-07
4.784359732446984736e+01 -2.418376284210155810e-07
5.215640267553003184e+01 -4.135768411072405688e-07
5.643013988611016174e+01 -8.218830145213182059e-07
6.059010667888274071e+01 -1.364000305958014730e-06
6.457119763756644204e+01 -2.564367339356802215e-06
6.832220677680838605e+01 -4.221235942879193586e-06
7.180774100578224761e+01 -7.479428679050652860e-06
7.500789930498964964e+01 -1.225076225867729663e-05
7.791633729569417710e+01 -1.834390899161892437e-05
